Product URL,Product Name,Image URL,Discounted Price,Full Price,Description,Sizes
https://in.puma.com/in/en/pd/x-ray-2-square-womens-superior-comfort-sneakers/404686?swatch=02,X-Ray 2 Square Women’s Superior Comfort Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404686/02/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Women’s-Superior-Comfort-Sneakers","₹3,839","₹7,999","Break the mould with the PUMA X-Ray! A bold mix of futuristic design and supreme comfort, these sneakers are made to make an impact. With their striking layered look and edgy vibe, they’ll have you stepping into the future with confidence. Ready to turn heads and own the streets? Let the X-Ray vision take over! SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel IMEVA: PUMA's material for a lightweight and comfortable feel Width: Regular Toe Type: Rounded Fastener: Laces Heel type: Flat PUMA branding details","UK 3, UK 4, UK 5, UK 6"
https://in.puma.com/in/en/pd/x-ray-2-square-womens-superior-comfort-sneakers/404686?swatch=01,X-Ray 2 Square Women’s Superior Comfort Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404686/01/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Women’s-Superior-Comfort-Sneakers","₹3,839","₹7,999","Break the mould with the PUMA X-Ray! A bold mix of futuristic design and supreme comfort, these sneakers are made to make an impact. With their striking layered look and edgy vibe, they’ll have you stepping into the future with confidence. Ready to turn heads and own the streets? Let the X-Ray vision take over! SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel IMEVA: PUMA's material for a lightweight and comfortable feel Width: Regular Toe Type: Rounded Fastener: Laces Heel type: Flat PUMA branding details","UK 3, UK 4"
https://in.puma.com/in/en/pd/darter-pro-fade-womens-extreme-lightweight-running-shoes/312091?swatch=01,Darter Pro Fade Womens Extreme Lightweight Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312091/01/sv01/fnd/IND/fmt/png/Darter-Pro-Fade-Womens-Extreme-Lightweight-Running-Shoes","₹4,199","₹6,999","Meet the all new Darter Pro Fade Running Shoes. This performance running shoe with a breathable upper ensuring optimal airflow, and responsive cushioning delivers unrivalled speed and comfort. Featuring PROFOAM technology and a progressive midfoot lockdown, hit new PBs on any terrain with the grip and responsiveness of our ProTread outsole. The upper of the shoes is made with at least 20% recycled materials PROFOAMLITE: Extremely lightweight and responsive, high-rebound EVA that provides instant cushioning and gives a responsive ride ENGINEERED MESH: Delivering exceptional value and performance breathability, with an execution offering clean overall lines and wearability Low boot Heel type: Flat Shoe width: Regular fit Shoe pronation: Neutral Ideal for Road running Textile upper Zoned rubber outsole for traction and durability PUMA cat logo branding Lockdown support in midfoot from internal structure, with a soft tongue for comfort PUMA Formstrip on lateral side","UK 3, UK 4, UK 6"
https://in.puma.com/in/en/pd/darter-pro-fade-womens-extreme-lightweight-running-shoes/312091?swatch=02,Darter Pro Fade Womens Extreme Lightweight Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312091/02/sv01/fnd/IND/fmt/png/Darter-Pro-Fade-Womens-Extreme-Lightweight-Running-Shoes","₹4,199","₹6,999","Meet the all new Darter Pro Fade Running Shoes. This performance running shoe with a breathable upper ensuring optimal airflow, and responsive cushioning delivers unrivalled speed and comfort. Featuring PROFOAM technology and a progressive midfoot lockdown, hit new PBs on any terrain with the grip and responsiveness of our ProTread outsole. The upper of the shoes is made with at least 20% recycled materials PROFOAMLITE: Extremely lightweight and responsive, high-rebound EVA that provides instant cushioning and gives a responsive ride ENGINEERED MESH: Delivering exceptional value and performance breathability, with an execution offering clean overall lines and wearability Low boot Heel type: Flat Shoe width: Regular fit Shoe pronation: Neutral Ideal for Road running Textile upper Zoned rubber outsole for traction and durability PUMA cat logo branding Lockdown support in midfoot from internal structure, with a soft tongue for comfort PUMA Formstrip on lateral side","UK 3, UK 4, UK 7"
https://in.puma.com/in/en/pd/puma-x-ray-slimmic-metallic-womens-sneakers/394651?swatch=02,PUMA X-Ray Slimmic Metallic Women's Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394651/02/sv01/fnd/IND/fmt/png/PUMA-X-Ray-Slimmic-Metallic-Women's-Sneakers","₹3,019","₹5,499","Walk the streets in comfort while radiating vibrant style.Flaunting a dynamic colorblock design on a breathable mesh upper, these sneakers redefine streetwear aesthetics. Experience the sensation of running on clouds, thanks to the SoftFoam+ sockliner that offers superior cushioning. SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day Heel type: Platform Shoe width: Regular fit Shoe pronation: Neutral Low boot Textile upper PUMA Formstrip on lateral side","UK 3, UK 4, UK 5, UK 6"
https://in.puma.com/in/en/pd/puma-x-ray-slimmic-metallic-womens-sneakers/394651?swatch=01,PUMA X-Ray Slimmic Metallic Women's Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394651/01/sv01/fnd/IND/fmt/png/PUMA-X-Ray-Slimmic-Metallic-Women's-Sneakers","₹3,569","₹5,499","Walk the streets in comfort while radiating vibrant style.Flaunting a dynamic colorblock design on a breathable mesh upper, these sneakers redefine streetwear aesthetics. Experience the sensation of running on clouds, thanks to the SoftFoam+ sockliner that offers superior cushioning. SoftFoam+: PUMA’s comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day Heel type: Platform Shoe width: Regular fit Shoe pronation: Neutral Low boot Textile upper PUMA Formstrip on lateral side","UK 3, UK 4, UK 5"
https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=03,Galaxis Pro Women's Performance Boost Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/03/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes","₹3,849","₹6,999","Step into the world of comfort and high functionality with these Women's Running Footwear. Designed to provide a snug fit and premium cushioning. These running essentials are perfect for those who crave a balance of style and performance. With a focus on comfort and support, these shoes are a must-have for running enthusiasts. PROFOAM: Offers superior cushioning for all out comfort, supporting you throughout your running journey. PROTREAD Outsole: Boasts a durable outsole rubber and tread pattern, providing multi-surface traction to keep you steady on your feet. RUN PUMA Last: A performance fit designed to adapt to your foot's natural movement for a smooth and efficient run. Fabrics Type: Textile Shoe Width: Regular Heel Type: Flat Surface: Road Toe Type: Rounded Built for running distance of up to 500km","UK 3, UK 4, UK 5, UK 6, UK 7"
https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=02,Galaxis Pro Women's Performance Boost Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/02/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes","₹3,499","₹6,999","Step into the world of comfort and high functionality with these Women's Running Footwear. Designed to provide a snug fit and premium cushioning. These running essentials are perfect for those who crave a balance of style and performance. With a focus on comfort and support, these shoes are a must-have for running enthusiasts. PROFOAM: Offers superior cushioning for all out comfort, supporting you throughout your running journey. PROTREAD Outsole: Boasts a durable outsole rubber and tread pattern, providing multi-surface traction to keep you steady on your feet. RUN PUMA Last: A performance fit designed to adapt to your foot's natural movement for a smooth and efficient run. Fabrics Type: Textile Shoe Width: Regular Heel Type: Flat Surface: Road Toe Type: Rounded Built for running distance of up to 500km","UK 3, UK 4, UK 5, UK 6, UK 7, UK 8"
https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=01,Galaxis Pro Women's Performance Boost Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/01/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes","₹3,499","₹6,999","Step into the world of comfort and high functionality with these Women's Running Footwear. Designed to provide a snug fit and premium cushioning. These running essentials are perfect for those who crave a balance of style and performance. With a focus on comfort and support, these shoes are a must-have for running enthusiasts. PROFOAM: Offers superior cushioning for all out comfort, supporting you throughout your running journey. PROTREAD Outsole: Boasts a durable outsole rubber and tread pattern, providing multi-surface traction to keep you steady on your feet. RUN PUMA Last: A performance fit designed to adapt to your foot's natural movement for a smooth and efficient run. Fabrics Type: Textile Shoe Width: Regular Heel Type: Flat Surface: Road Toe Type: Rounded Built for running distance of up to 500km","UK 3, UK 4, UK 5, UK 6, UK 7, UK 8"
https://in.puma.com/in/en/pd/carina-2-0-womens-sneakers/401345?swatch=02,Carina 2.0 Women's Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401345/02/sv01/fnd/IND/fmt/png/Carina-2.0-Women's-Sneakers","₹2,749","₹4,999","Step into the spotlight with the PUMA Carina 2.0 Women's Sneakers. Designed as a low boot with a lacing system, these sneakers inherit the Carina DNA and features a low to the ground tooling and a sleeker upper for a clean court silhouette from the '80s, encapsulating the essence of sneakerhead culture from Californian beach towns. With their understated yet timeless design, they’re the go-to choice for those who appreciate subtlety and class in their kicks. Heel type: Platform Shoe width: Regular fit Heel-to-toe-drop: 0 mm Shoe pronation: Neutral Low boot Synthetic upper with perforations PUMA Formstrip on lateral side EVA outsole","UK 3, UK 4, UK 5, UK 6, UK 7, UK 8"
